SISTEM INVENTORY UTAMA & STOCK OPNAME,,,,,,,,,,,,,,,,,,,,,,,,
MASTER DATA INVENTORY,,,,,,,,FLOW LOG (INPUT/OUTPUT),,,,,,,,STOCK OPNAME (AUDIT LOG),,,,,,,,
Kode Part,Nama Part,Stok Awal,Total Masuk,Total Keluar,Stok Akhir Sistem,Stok Fisik Terakhir,Selisih Audit,,Tanggal PO,No PO,Kode Part,Nama Part,Jenis Flow,Jumlah (Qty),Keterangan,,Tanggal Audit,Auditor,Kode Barang,,Stok Sistem,Stok Fisik,Selisih,Keterangan
KSD750710A,"GRILLE, RADIATOR",,0,0,0,,,,2026-07-09,,605000723,RR-RH STOPLAMP,Masuk,1,,,,,,,,,,
GSJ551160B,"LAMP(L),RR COMB",,0,0,0,,,,2026-07-09,,605000557AA,HEADLAMP LOW LEFT,Masuk,0,,,,,,,,,,
UM4667730,"RELAY, N.O",,0,0,0,,,,2026-07-09,,602002159AA,"TRIM COVER, HEADLAMP-RH",Masuk,2,,,,,,,,,,
UPPER BUMPER OMODA C5,Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,602002158AA,LEFT HEADLAMP TRIM COVER,Masuk,4,,,,,,,,,,
602004026AA,MID BODY-RR BUMPER,,1,0,1,,,,2026-07-09,,601000431AABCE,REARVIEW MIRROR OTR-RH,Masuk,0,1 DI MAZDA,,,,,,,,,
D10J-50221,Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,601000430AABCE,REARVIEW MIRROR OTR-LH,Masuk,2,,,,,,,,,,
D10J-50031,Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,602007723AA,TRIM COVER-FOG LAMP LH,Masuk,2,,,,,,,,,,
602001991AA,LWR BODY-FR BUMPER,,1,0,1,,,,2026-07-09,,602007724AA,TRIM COVER-FOG LAMP RH,Masuk,1,,,,,,,,,,
602001970AA,LWR TRIM PANEL-FR BUMPER,,3,0,3,,,,2026-07-09,,KSD750710A,"GRILLE, RADIATOR",Masuk,0,,,,,,,,,,
F16-2804502CA,REAR LOWER BUMPER,,2,0,2,,,,2026-07-09,,GSJ551160B,"LAMP(L),RR COMB",Masuk,0,,,,,,,,,,
TALANG AIR DASHING,Part Tidak Ditemukan,,10,0,10,,,,2026-07-09,,UM4667730,"RELAY, N.O",Masuk,0,,,,,,,,,,
609001976AA,Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,609000627AADQJ,TRIM PANEL-RR DOOR RH,Masuk,1,,,,,,,,,,
609001975AA,Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,UPPER BUMPER OMODA C5,Part Tidak Ditemukan,Masuk,1,,,,,,,,,,
602002018AA,Part Tidak Ditemukan,,1,0,1,,,,2026-07-09,,602004026AA,MID BODY-RR BUMPER,Masuk,1,,,,,,,,,,
