Part Number,"Nama Mobil
VIN ",No,Nama Sparepart,Harga Jual,Disc.,After discount,Stock & Lead Time,,Harga Modal,Harga Modal ATPM,Modal Vendor A,,,Modal Vendor B,,,Modal Vendor C,,,Ongkir,Gross Profit Before Disc.,% Gross Profit Before Disc.,GP After Disc.,% GP After Disc.
6600000-01JAP,,,COOLANT NAL30％ 4L,,,,,,,"Rp85,914",,,FALSE,,,FALSE,,,FALSE,,,,,
2904100-EV01P,,,"FRONT SHOCK ABSORBER ASSY, L",,,,,,,"Rp932,955",,,FALSE,,,FALSE,,,FALSE,,,,,
2904200-EV01P,,,"FRONT SHOCK ABSORBER ASSY, R",,,,,,,"Rp932,955",,,FALSE,,,FALSE,,,FALSE,,,,,
3004200-VA01RP,,,"TIE ROD AND BALL JOINT ASSY, RH",,,,,,,"Rp250,749",,,FALSE,,,FALSE,,,FALSE,,,,,
3003100-VA01RP,,,"TIE ROD AND BALL JOINT ASSY, LH",,,,,,,"Rp250,749",,,FALSE,,,FALSE,,,FALSE,,,,,
1301110-KJ01P,,,RADIATOR TANK ASSY,,,,,,,"Rp962,592",,,FALSE,,,FALSE,,,FALSE,,,,,
1025004E0502P,,,"BELT, WATER PUMP",,,,,,,"Rp113,553",,,FALSE,,,FALSE,,,FALSE,,,,,
2403015-EV01P,,,REAR BEARING,,,,,,,"Rp247,974",,,FALSE,,,FALSE,,,FALSE,,,,,
1600000-02JAP,,,GASOLINE OIL SL 10W-40 1L,,,,,,,"Rp58,830",,,FALSE,,,FALSE,,,FALSE,,,,,
3600000-01JAP,,,GEAR OIL 85W-90 GL-5,,,,,,,"Rp68,376",,,FALSE,,,FALSE,,,FALSE,,,,,
6600000-02JAP,,,COOLANT NAL30％ 1L,,,,,,,"Rp27,084",,,FALSE,,,FALSE,,,FALSE,,,,,
1703400-EV01RP,,,GEAR SELECTION AND SHIFT CABLE ASSY,,,,,,,"Rp826,395",,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
151000348AA,STOK CHERY,,AIR FILTER ELEMENT,,,,,,,"Rp157,509",,"Rp66,092",FALSE,,,FALSE,,,FALSE,,,,,
204003099AA,,,FR BRAKE PAD,,,,,,,"Rp911,908",,"Rp317,243",FALSE,,,FALSE,,,FALSE,,,,,
T19-6GN3501080,,,FR BRAKE PAD,,,,,,,"Rp1,024,615",,"Rp198,277",FALSE,,,FALSE,,,FALSE,,,,,
T15-6GN3501080,,,FR BRAKE PAD,,,,,,,"Rp1,100,000",,"Rp317,243",FALSE,,,FALSE,,,FALSE,,,,,
T1EJ-3501080,,,FR BRAKE PAD,,,,,,,"Rp1,336,440",,"Rp317,243",FALSE,,,FALSE,,,FALSE,,,,,
204007078AA,,,FR BRAKE PAD,,,,,,,"Rp1,618,935",,"Rp396,554",FALSE,,,FALSE,,,FALSE,,,,,
T1C-3JS3502080,,,RR BRAKE PAD,,,,,,,"Rp899,100",,"Rp185,059",FALSE,,,FALSE,,,FALSE,,,,,
T15-6GN3502080EP,,,RR BRAKE PAD,,,,,,,"Rp819,692",,"Rp304,025",FALSE,,,FALSE,,,FALSE,,,,,
204003470AA,,,RR BRAKE PAD,,,,,,,"Rp1,017,870",,"Rp198,277",FALSE,,,FALSE,,,FALSE,,,,,
204007081AA,,,RR BRAKE PAD,,,,,,,"Rp1,141,635",,"Rp277,588",FALSE,,,FALSE,,,FALSE,,,,,
T28-3JS3502080,,,RR BRAKE PAD,,,,,,,"Rp1,380,840",,"Rp515,520",FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
A1666910208,"Mercedes Benz ML400 BP 354 YV , VIN : WDC1660562A468914, AMG",1,COVER STOP LAMP,"Rp2,500,000",15%,"Rp2,125,000",Indent 5-6 Minggu Kerja,,"Rp969,000",Barang Non ATPM,$45.00,"Rp819,000",TRUE,,,FALSE,,,FALSE,"Rp150,000","Rp1,531,000",61.2%,"Rp1,156,000",54.4%
A1669036201,,2,STOPLAMP KANAN,"Rp4,000,000",15%,"Rp3,400,000",Indent 5-6 Minggu Kerja,,"Rp1,992,400",Barang Non ATPM,$82.00,"Rp1,492,400",TRUE,,,FALSE,,,FALSE,"Rp500,000","Rp2,007,600",50.2%,"Rp1,407,600",41.4%
A1666842800,,3,PANEL COVER BAK BAGASI KANAN,"Rp3,000,000",15%,"Rp2,550,000",Indent 5-6 Minggu Kerja,,"Rp1,146,400",Barang Non ATPM,$52.00,"Rp946,400",TRUE,,,FALSE,,,FALSE,"Rp200,000","Rp1,853,600",61.8%,"Rp1,403,600",55.0%
A1669068501,,4,LAMPU BAGASI KANAN,"Rp3,000,000",15%,"Rp2,550,000",Indent 5-6 Minggu Kerja,,"Rp1,246,400",Barang Non ATPM,$52.00,"Rp946,400",TRUE,,,FALSE,,,FALSE,"Rp300,000","Rp1,753,600",58.5%,"Rp1,303,600",51.1%
A1669063301,,5,STOPLAMP KIRI,"Rp4,000,000",15%,"Rp3,400,000",Indent 5-6 Minggu Kerja,,"Rp1,992,400",Barang Non ATPM,$82.00,"Rp1,492,400",TRUE,,,FALSE,,,FALSE,"Rp500,000","Rp2,007,600",50.2%,"Rp1,407,600",41.4%
A1668900278,,6,PENAHAN LUMPUR BELAKANG KANAN,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,7,COVER ALUMINIUM PENAHAN KNALPOT,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
A1668851221/A1668801212,,8,BREKET BUMPER BELAKANG KANAN,"Rp1,800,000",15%,"Rp1,530,000",Indent 5-6 Minggu Kerja,,"Rp919,000",Barang Non ATPM,$45.00,"Rp819,000",TRUE,,,FALSE,,,FALSE,"Rp100,000","Rp881,000",48.9%,"Rp611,000",39.9%
A1668803403,,9,BREKET BUMPER BELAKANG BAWAH LAMPU KANAN,"Rp1,900,000",15%,"Rp1,615,000",Indent 5-6 Minggu Kerja,,"Rp1,082,800",Barang Non ATPM,$54.00,"Rp982,800",TRUE,,,FALSE,,,FALSE,"Rp100,000","Rp817,200",43.0%,"Rp532,200",33.0%
A16688503259999,,10,BUMPER BELAKANG ATAS,"Rp7,000,000",15%,"Rp5,950,000",Indent 5-6 Minggu Kerja,,"Rp4,803,000",Barang Non ATPM,$165.00,"Rp3,003,000",TRUE,,,FALSE,,,FALSE,"Rp1,800,000","Rp2,197,000",31.4%,"Rp1,147,000",19.3%
A1668851925,,11,BUMPER BELAKANG BAWAH,,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
A1668852274,,12,STENLIST BUMPER BELAKANG ATAS,"Rp2,600,000",15%,"Rp2,210,000",Indent 5-6 Minggu Kerja,,"Rp1,592,000",Barang Non ATPM,$45.00,"Rp1,092,000",TRUE,,,FALSE,,,FALSE,"Rp500,000","Rp1,008,000",38.8%,"Rp618,000",28.0%
A1668852374,,13,STENLIST BUMPER BELAKANG BAWAH,"Rp2,600,000",15%,"Rp2,210,000",Indent 5-6 Minggu Kerja,,"Rp1,319,000",Barang Non ATPM,$60.00,"Rp819,000",TRUE,,,FALSE,,,FALSE,"Rp500,000","Rp1,281,000",49.3%,"Rp891,000",40.3%
A1668851923,,14,STENLIST TUTUP TOWING BELAKANG,"Rp450,000",15%,"Rp382,500",Indent 5-6 Minggu Kerja,,"Rp201,900",Barang Non ATPM,$4.50,"Rp81,900",TRUE,,,FALSE,,,FALSE,"Rp120,000","Rp248,100",55.1%,"Rp180,600",47.2%
A2125420018,,15,SENSOR BELAKANG KANAN LUAR,"Rp500,000",15%,"Rp425,000",Indent 5-6 Minggu Kerja,,"Rp209,200",Barang Non ATPM,$6.00,"Rp109,200",TRUE,,,FALSE,,,FALSE,"Rp100,000","Rp290,800",58.2%,"Rp215,800",50.8%
A1668200174,,16,REKFLEKTOR BUMPER BELAKANG KANAN,"Rp500,000",15%,"Rp425,000",Indent 5-6 Minggu Kerja,,"Rp209,200",Barang Non ATPM,$6.00,"Rp109,200",TRUE,,,FALSE,,,FALSE,"Rp100,000","Rp290,800",58.2%,"Rp215,800",50.8%
A1668200074,,17,REFLEKTOR BUMPER BELAKANG KIRI,"Rp500,000",15%,"Rp425,000",Indent 5-6 Minggu Kerja,,"Rp209,200",Barang Non ATPM,$6.00,"Rp109,200",TRUE,,,FALSE,,,FALSE,"Rp100,000","Rp290,800",58.2%,"Rp215,800",50.8%
A1668800082,,18,COVER DI KAP MESIN KANAN/KIRI,"Rp3,000,000",15%,"Rp2,550,000",Indent 5-6 Minggu Kerja,,"Rp1,296,600",Barang Non ATPM,$63.00,"Rp1,146,600",TRUE,,,FALSE,,,FALSE,"Rp150,000","Rp1,703,400",56.8%,"Rp1,253,400",49.2%
,Total,,"Rp37,350,000",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,"Rp42,670,500",,"Rp34,693,350",
,Total After Disc,,"Rp31,747,500",,,,,,,,,,FALSE,,,FALSE,,,FALSE,,,,,
,,,,,,,,,,,USD,IDR,FALSE,,,FALSE,,,FALSE,,,,,
BCKN50A11A,"Mazda 3 Hb, VIN : JM6BP2H7AK1102331",1,TUTUP TOWING,"Rp220,000",15%,"Rp187,000",4-5 Minggu Kerja,,"Rp54,000","Rp299,300",,"Rp54,000",TRUE,,,FALSE,,,FALSE,,"Rp166,000",75.5%,"Rp133,000",71.1%
BCKN50760C,,2,"LIST GRILLE RADIATOR ASSY, KIRI","Rp1,200,000",15%,"Rp1,020,000","-Rp153,000",,"Rp288,000","Rp2,060,000",,"Rp288,000",TRUE,,,FALSE,,,FALSE,,"Rp912,000",76.0%,"Rp732,000",71.8%
BDGF61480A,,3,CONDENSER,"Rp5,500,000",15%,"Rp4,675,000",4-5 Minggu Kerja,,"Rp954,000","Rp5,515,300",,"Rp954,000",TRUE,,,FALSE,,,FALSE,,"Rp4,546,000",82.7%,"Rp3,721,000",79.6%
PAF215025,,4,KIPAS + RUMAH RADIATOR,"Rp10,180,587",15%,"Rp8,653,499",3-4 Minggu Kerja,,Rp0,"Rp6,420,300",,,TRUE,,,FALSE,,,FALSE,,"Rp10,180,587",100.0%,"Rp8,653,499",100.0%
BCJH50070A/B,,5,CHASIS LINTANG TENGAH,"Rp4,000,000",15%,"Rp3,400,000",4-5 Minggu Kerja,,"Rp648,000",,,"Rp648,000",TRUE,,,FALSE,,,FALSE,,"Rp3,352,000",83.8%,"Rp2,752,000",80.9%
