ATPM,,,,,,,,,,,,,,,,,ATPM,,,,,,,,Non - ATPM,,,,,NON - ATPM,,,,,,,,,,,,
PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,ATPM Price,Total ATPM Price,HPP,Total HPP,Total Selling Price,Gross Profit,Gross Profit %,Total Savings,Total Saving Percentage,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,Total Savings,AVERAGE of Total Saving Percentage,,PO Date - Month,Total Revenue,Total HPP ,Gross Profit,Gross Profit %,PO Number,PO Date,Spare Part Number,Spare Part Name,Brand Name,Vendor Name,Quality Part,Qty.,HPP (IDR),Total HPP(IDR) ,Total Selling Price,Gross Profit,Gross Profit %
KWJ260502,5/28/2026,608000120AA,BLADE PS,CHERY,"Kwoje Automotive Parts Co., Ltd.",OM,10 SET,"Rp134,421","Rp1,344,210","Rp47,673","Rp476,731","Rp1,275,000","Rp798,269",62.61%,"Rp86,748",5.15%,,,,,,,,,,,,,,CBA260601,6/15/2026,K26250710A,"GRILLE,RADIATOR",MAZDA,CHONGBANG ,OM,1,"Rp1,387,502","Rp1,387,502","Rp8,475,782","Rp7,088,281",83.63%
KWJ260502,5/28/2026,608000118AA,WIPER BLADE-MASTER,CHERY,"Kwoje Automotive Parts Co., Ltd.",OM,10 SET,"Rp147,186","Rp1,471,860","Rp47,673","Rp476,731","Rp1,275,000","Rp798,269",62.61%,"Rp99,513",13.37%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB8A507E1BBB,"GRILLE,UP.RADIATOR",MAZDA,CHONGBANG ,OM,2,"Rp136,000","Rp272,000","Rp4,423,838","Rp4,151,838",93.85%
CT260603,6/20/2026,A0003570091 / FEBI,CARDAN BELLOW SETS,MERCEDES BENZ,CT Auto Spare SDN BHD,OM,1 SET,Barang Non ATPM,,"Rp328,481","Rp328,481","Rp421,875","Rp93,394",22.14%,,,,,,,,,,,,,,,,CBA260601,6/15/2026,KD3556620A,"LOCK,BONNET",MAZDA,CHONGBANG ,OM,1,"Rp150,000","Rp150,000","Rp480,000","Rp330,000",68.75%
CT260603,6/20/2026,95B837462,FRONT RIGHT WINDOW REGULATOR,PORSCHE,CT Auto Spare SDN BHD,OL,1 SET,Barang Non ATPM,,"Rp5,036,708","Rp5,036,708","Rp6,468,750","Rp1,432,042",22.14%,,,,,,,,,,,,,,,,CBA260601,6/15/2026,KBY05231XC,BONNET,MAZDA,CHONGBANG ,OM,2,"Rp1,810,002","Rp3,620,004","Rp9,600,000","Rp5,979,996",62.29%
AR260601,6/5/2026,602002649AA,LWR BODY-RR BUMPER,CHERY,Anhui Ruikai,OM,1 SET,"Rp1,407,258","Rp1,407,258","Rp520,331","Rp520,331","Rp1,190,000","Rp669,669",56.27%,"Rp886,927",15.44%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB7W52410,"HINGE(L),BONNET",MAZDA,CHONGBANG ,OM,2,"Rp80,000","Rp160,000","Rp592,240","Rp432,240",72.98%
AR260601,6/5/2026,602002017AA,REAR BUMPER LEFT END BODY,CHERY,Anhui Ruikai,OL,1 SET,"Rp932,400","Rp932,400","Rp789,468","Rp789,468","Rp680,000","-Rp109,468",-16.10%,"Rp142,932",27.07%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB7W52420,"HINGE(L),BONNET",MAZDA,CHONGBANG ,OM,1,"Rp80,000","Rp80,000","Rp296,120","Rp216,120",72.98%
TD260602,6/27/2026,SFM-400-EB,SINOFUSE ELECTRIC,CHERY,BYONE-PT. GEMILANG BUMITAMA RAYA ,OM,1 SET,WAITING,,"Rp1,136,101","Rp1,136,101","Rp1,550,000","Rp413,899",26.70%,,,,,,,,,,,,,,,,CBA260601,6/15/2026,KD5356627,"PROTECTOR,LOCK-BONNET",MAZDA,CHONGBANG ,OM,1,"Rp130,000","Rp130,000","Rp60,632","-Rp69,368",-114.41%
KWJ260601,6/22/2026,605002314AA,LH FR DECORATIVE LAMP,JETOUR,"Kwoje Automotive Parts Co., Ltd.",OM,1 SET,"Rp393,791","Rp393,791","Rp198,638","Rp198,638","Rp400,000","Rp201,362",50.34%,"Rp195,153",-1.58%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB7W56770A,SEAL TO HOOD,MAZDA,CHONGBANG ,OM,1,"Rp72,500","Rp72,500","Rp270,072","Rp197,572",73.16%
KWJ260601,6/22/2026,F26-6105380BJ,REMOTE CONTROL KEY-WHITE,JETOUR,"Kwoje Automotive Parts Co., Ltd.",OL,1 SET,"Rp959,878","Rp959,878","Rp198,638","Rp198,638","Rp1,100,000","Rp901,362",81.94%,"Rp761,240",-14.60%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB7W56750A,"STRIP,FRONT-WEATHER",MAZDA,CHONGBANG ,OM,1,"Rp150,000","Rp150,000","Rp214,192","Rp64,192",29.97%
TD260601,6/24/2026,F26-3106010AB,"TIRE ASSY, Size 255/60R19",JETOUR,Anhui Ruikai,OL,1 SET,"Rp5,375,534","Rp5,375,534","Rp2,099,267","Rp2,099,267","Rp4,000,000","Rp1,900,733",47.52%,"Rp3,276,267",25.59%,,,,,,,,,,,,,,CBA260601,6/15/2026,KB7W52150,"STAY,LOCK",MAZDA,CHONGBANG ,OM,1,"Rp140,000","Rp140,000","Rp234,080","Rp94,080",40.19%
