Status,PO Number,PO Date,Purchasing Officer,Exchange Rate,Purchase Amount,Amount (IDR),Origin Warehouse,Freight Forwarder Name,Shipping Mode,PO Submission Date,PO Payment Date,Item Delivery Date,Estimated Arrival Date,Completed,PO Remarks,,,LEGEND / CARA INPUT - MASTER_SPAREPART,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260705,8-Jul-2026,Ruben,,,,,,,8-Jul-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260703,6-Jul-2026,Denny,,,,,,,6-Jul-2026,,,,,,,,,,
Tidak Complete,TD260606,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260701,2-Jul-2026,Denny,,,,,,,2-Jul-2026,,,,,,,,,,
Tidak Complete,TD260701,2-Jul-2026,Denny,,,,,,,2-Jul-2026,,,,,,,,,,
Tidak Complete,TD260704,7-Jul-2026,Denny,,,,,,,7-Jul-2026,,,,,,,,,,
Tidak Complete,TD260712,16-Jul-2026,Denny,,,,,,,16-Jul-2026,,,,,,,,,,
Tidak Complete,TD260704,7-Jul-2026,Denny,,,,,,,7-Jul-2026,,,,,,,,,,
Tidak Complete,TD260712,16-Jul-2026,Denny,,,,,,,16-Jul-2026,,,,,,,,,,
Tidak Complete,TD260711,16-Jul-2026,Denny,,,,,,,16-Jul-2026,,,,,,,,,,
Tidak Complete,TD260716,17-Jul-2026,Denny,,,,,,,17-Jul-2026,,,,,,,,,,
Tidak Complete,TD260710,14-Jul-2026,Mualimin,,,,,,,14-Jul-2026,,,,,,,,,,
